date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,1102,康和,8450,0,430,-430,4.83,3,sell,2026-08-25
8/25,2026-08-25,1102,群益金鼎,9100,513,14,499,5.6,4,buy,2026-08-25
8/25,2026-08-25,1102,凱基-員林,9231,0,322,-322,3.62,4,sell,2026-08-25
8/25,2026-08-25,1102,亞東,2180,375,2,373,4.19,5,buy,2026-08-25
8/25,2026-08-25,1102,摩根大通,8440,571,868,-297,3.34,5,sell,2026-08-25
8/25,2026-08-25,1102,凱基-台北,9268,516,272,244,2.74,6,buy,2026-08-25
8/25,2026-08-25,1102,凱基-城中,9227,1,260,-259,2.91,6,sell,2026-08-25
8/25,2026-08-25,1102,富邦-內湖,9627,240,1,239,2.68,7,buy,2026-08-25
8/25,2026-08-25,1102,華南永昌,9300,1,155,-154,1.73,7,sell,2026-08-25
8/25,2026-08-25,1102,新加坡商瑞銀,1650,667,432,235,2.64,8,buy,2026-08-25
8/25,2026-08-25,1102,第一金-忠孝,0035003300380044,0,150,-150,1.68,8,sell,2026-08-25
8/25,2026-08-25,1102,美林,1440,344,153,191,2.15,9,buy,2026-08-25
8/25,2026-08-25,1102,陽信-石牌,8711,4,141,-137,1.54,9,sell,2026-08-25
8/25,2026-08-25,1102,港商野村,1560,183,0,183,2.06,10,buy,2026-08-25
